Id,Script result,GBS2p(234),GBS2p(2345),GBS2p(24),Passport ploidy,species
PI_661982,4,4,4,4,4,tbr
PI_661983,4,4,4,4,4,tbr
PI_661984,4,4,5,4,4,tbr
PI_661985,4,4,4,4,4,tbr
PI_661986,2,3,3,4,4,tbr
PI_661987,4,4,4,4,4,tbr
PI_661988,4,4,4,4,4,tbr
PI_661989,4,4,4,4,4,tbr
PI_661990,5,4,4,4,4,tbr
PI_662322,3,4,5,4,4,tbr
PI_662323,5,4,4,4,4,tbr adg
PI_662324,5,4,5,4,4,tbr adg
PI_662325,3,4,4,4,4,tbr
PI_664473,4,3,5,2,4,tbr
PI_664474,4,2,5,2,4,tbr adg
PI_664475,5,4,5,4,4,tbr adg
PI_664476,5,4,5,4,4,tbr adg
PI_664477,4,4,5,4,4,tbr adg
PI_665406,4,4,4,4,4,tbr
PI_665407,4,3,3,2,4,tbr adg
PI_666142,4,4,4,4,4,tbr
PI_666963,4,3,3,2,4,tbr
PI_666964,4,4,4,4,4,tbr
PI_669829,3,4,4,4,4,tbr adg
PI_672073,4,4,4,4,4,tbr
PI_673449,4,4,5,4,4,tbr
PI_673450,3,4,4,4,4,tbr
PI245792,4,4,4,4,4,tbr
PI245800,3,4,4,4,4,tbr
PI407411,4,4,4,4,4,tbr
